state_index,episode_id,t_in_episode,task_name,instruction,num_points,action_dim,k,total_variance,weighted_incluster_variance,variance_drop,variance_drop_ratio,r2,calinski_harabasz,silhouette,best_k
3787,ep000014,88,nan,Put the towel in the bowl,50,120,5,3.0508574641139834,0.046310273894765684,3.004547190219218,0.9848205711215634,0.9848205711215634,729.8846032907321,0.23733437350023923,True
10151,ep000033,563,nan,nan,50,120,5,3.75790009151157,0.06453745831675871,3.6933626331948113,0.9828261910255311,0.9828261910255311,643.8172606598001,0.774931520896299,True
3786,ep000014,87,nan,Put the towel in the bowl,50,120,5,2.0627746502321194,0.03569843554322386,2.0270762146888957,0.9826939721509538,0.9826939721509538,638.8125156812021,0.4403393529005383,True
4119,ep000016,72,nan,Put the marker in the pot,50,120,5,1.6636754165909784,0.03958144599976452,1.6240939705912139,0.9762084324832602,0.9762084324832602,461.6066115740151,0.6802673036134458,True
10147,ep000033,559,nan,nan,50,120,5,2.695937923209896,0.06724357321023545,2.6286943499996602,0.9750574474911601,0.9750574474911601,439.7864364678759,0.6405755826989519,True
3778,ep000014,79,nan,Put the towel in the bowl,50,120,5,2.9838697284780262,0.07571934544869437,2.908150383029332,0.9746237763914324,0.9746237763914324,432.0783759448639,0.4326220476224072,True
26350,ep000093,242,nan,Pick up the snuck and put it in the sink,50,120,5,2.7885733899969214,0.07181372588994833,2.716759664106973,0.9742471451002308,0.9742471451002308,425.59477095006685,0.2825970434095178,True
26348,ep000093,240,nan,Pick up the snuck and put it in the sink,50,120,5,2.3317422906854226,0.06047640676871186,2.2712658839167106,0.9740638547363076,0.9740638547363076,422.5075952641166,0.3403267956456921,True
3781,ep000014,82,nan,Put the towel in the bowl,50,120,5,3.0354570832338847,0.0789349837522421,2.9565220994816426,0.9739956844759119,0.9739956844759119,421.3705006080238,0.32504371101226764,True
4118,ep000016,71,nan,Put the marker in the pot,50,120,5,2.3483701279915508,0.06325534923312844,2.2851147787584223,0.9730641484154682,0.9730641484154682,406.4089689282524,0.45699620463777796,True
10441,ep000033,853,nan,nan,50,120,5,2.265526308037519,0.06111635486052179,2.2044099531769974,0.9730233303212167,0.9730233303212167,405.7770138588643,0.673833525771053,True
10146,ep000033,558,nan,nan,50,120,5,2.5047934960270015,0.0695595688442153,2.4352339271827863,0.972229419728793,0.972229419728793,393.85496684378427,0.45079524420823314,True
10141,ep000033,553,nan,nan,50,120,5,0.816760326395744,0.022778351041485557,0.7939819753542585,0.9721113400034949,0.9721113400034949,392.139764922723,0.6059413454045682,True
3782,ep000014,83,nan,Put the towel in the bowl,50,120,2,3.359020178155569,0.10017515596717692,3.258845022188392,0.9701772687706262,0.9701772687706262,1561.5105317759264,0.811318755220247,True
26355,ep000093,247,nan,Pick up the snuck and put it in the sink,50,120,5,3.0860405469715118,0.09404760374836121,2.9919929432231505,0.969524832121647,0.969524832121647,357.90301155702724,0.346236952854933,True
10154,ep000033,566,nan,nan,50,120,4,6.551662481380831,0.20110753546998217,6.350554945910848,0.9693043504543297,0.9693043504543297,484.19456590593126,0.6870569153182207,True
23701,ep000082,73,nan,Use the paper towel to wipe the table,50,120,5,2.6673449627344255,0.08432825984690193,2.5830167028875235,0.9683849441954246,0.9683849441954246,344.59311694847236,0.24308683258508507,True
10150,ep000033,562,nan,nan,50,120,5,5.033387542958897,0.15919241979414198,4.874195123164755,0.9683727075581866,0.9683727075581866,344.45544082131806,0.6119320557517861,True
3779,ep000014,80,nan,Put the towel in the bowl,50,120,5,3.0108546964334137,0.10058252098638246,2.910272175447031,0.9665933659616552,0.9665933659616552,325.5094588274611,0.45511136124657314,True
26344,ep000093,236,nan,Pick up the snuck and put it in the sink,50,120,5,1.5253462603793535,0.05287432740386658,1.472471932975487,0.9653361805268289,0.9653361805268289,313.29588591159734,0.2331615555678491,True
26347,ep000093,239,nan,Pick up the snuck and put it in the sink,50,120,5,2.7979269611174824,0.09703245357711332,2.700894507540369,0.9653198761348799,0.9653198761348799,313.14330504568386,0.2430127471883099,True
5052,ep000021,110,nan,Pick up the lid from the table and close the pot,50,120,5,3.1282697265964656,0.1097577805577744,3.018511946038691,0.9649142209111264,0.9649142209111264,309.39273024986414,0.4480891953564147,True
10125,ep000033,537,nan,nan,50,120,5,0.561825995201837,0.01980149679502704,0.5420244984068099,0.9647551075170288,0.9647551075170288,307.945185669399,0.6663955421802202,True
10444,ep000033,856,nan,nan,50,120,5,0.620956099261244,0.02217636656183801,0.598779732699406,0.9642867400960852,0.9642867400960852,303.75904790735046,0.1418624416698972,True
26346,ep000093,238,nan,Pick up the snuck and put it in the sink,50,120,5,2.4326643397577112,0.08980050013812367,2.3428638396195876,0.9630855360229978,0.9630855360229978,293.5085902102981,0.21567951805557636,True
10114,ep000033,526,nan,nan,50,120,2,0.39498801743225415,0.014790638485249656,0.3801973789470045,0.962554209665901,0.962554209665901,1233.8530353274452,0.935680987250254,True
26349,ep000093,241,nan,Pick up the snuck and put it in the sink,50,120,5,1.9608465980234167,0.07361050146654523,1.8872360965568715,0.9624598367150462,0.9624598367150462,288.4290374779492,0.31684771555147184,True
9824,ep000033,236,nan,nan,50,120,5,0.8070889395443811,0.030639236545608014,0.7764497029987731,0.9620373479992125,0.9620373479992125,285.0938908263472,0.25610947961100583,True
10140,ep000033,552,nan,nan,50,120,5,0.5879792152546206,0.022988211803138505,0.5649910034514821,0.9609030196872119,0.9609030196872119,276.4960077478227,0.5739400863467486,True
5050,ep000021,108,nan,Pick up the lid from the table and close the pot,50,120,5,2.639239540824265,0.10453967157244874,2.534699869251816,0.9603902298539375,0.9603902298539375,272.77083522613736,0.2135414648209945,True
3780,ep000014,81,nan,Put the towel in the bowl,50,120,5,1.8378248639966088,0.07505341684171052,1.7627714471548983,0.9591618231355863,0.9591618231355863,264.2275277395704,0.14504051777531413,True
10122,ep000033,534,nan,nan,50,120,4,0.4093245984724711,0.016951574615824718,0.3923730238566464,0.9585864746973795,0.9585864746973795,354.91607724662134,0.28505253772707834,True
10149,ep000033,561,nan,nan,50,120,5,3.4413337945286906,0.14300863587480234,3.2983251586538884,0.9584438347415851,0.9584438347415851,259.46795316152117,0.6303027328225747,True
9833,ep000033,245,nan,nan,50,120,5,1.5799717946088772,0.06583769141038653,1.5141341031984905,0.9583298311811416,0.9583298311811416,258.72730796110113,0.34404931116453696,True
9834,ep000033,246,nan,nan,50,120,5,0.8149973834080368,0.03428854377370476,0.7807088396343321,0.9579280320749964,0.9579280320749964,256.1489488690895,0.6468622053673835,True
9866,ep000033,278,nan,nan,50,120,4,1.2574381407427875,0.0533029542838497,1.2041351864589378,0.9576098795187151,0.9576098795187151,346.3861701557623,0.6502911795976842,True
9830,ep000033,242,nan,nan,50,120,5,2.8372860304093623,0.12260414936353338,2.714681881045829,0.9567882307072706,0.9567882307072706,249.09573876827739,0.3350878623044399,True
10152,ep000033,564,nan,nan,50,120,5,1.828708632763791,0.07909799358208187,1.749610639181709,0.9567465302208704,0.9567465302208704,248.84474054792028,0.785278266670733,True
4743,ep000020,76,nan,Put the white bottle on the orange plate,50,120,5,0.6405545331026967,0.02779146320063902,0.6127630699020576,0.9566134313872955,0.9566134313872955,248.0468367797073,0.289117812098731,True
10148,ep000033,560,nan,nan,50,120,5,4.300745652279714,0.1869373412416493,4.113808311038064,0.9565337370875306,0.9565337370875306,247.57142255143538,0.560618537262958,True
9831,ep000033,243,nan,nan,50,120,4,2.342334065744559,0.10280556107575455,2.2395285046688045,0.9561097784559285,0.9561097784559285,334.023147310918,0.3789468093422183,True
24373,ep000085,49,nan,Remove the orange can from the plastic bowl and put it on the counter,50,120,5,3.5419737363525057,0.15579027425092656,3.386183462101579,0.9560159713630858,0.9560159713630858,244.52466068122476,0.489750404492478,True
24380,ep000085,56,nan,Remove the orange can from the plastic bowl and put it on the counter,50,120,5,0.910118630453762,0.04051528885114096,0.869603341602621,0.9554835078687038,0.9554835078687038,241.46533001341257,0.4825766591469049,True
10139,ep000033,551,nan,nan,50,120,5,0.925309719593581,0.04136299521916688,0.8839467243744141,0.9552982159991419,0.9552982159991419,240.4178081524449,0.7593851118043458,True
15176,ep000052,73,nan,Use a paper towel to clean the table,50,120,5,2.5338599353482323,0.11340851713382426,2.420451418214408,0.955242783726229,0.955242783726229,240.1061149823524,0.4078710702303035,True
330,ep000001,163,nan,Put the blue block in the green bowl,50,120,5,1.7064793784194625,0.07731215595860637,1.6291672224608562,0.9546949368762881,0.9546949368762881,237.06661682669517,0.4090817585508524,True
13134,ep000043,71,nan,Open the top kitchen cabinet door to the right,50,120,5,3.013579538305781,0.13691762404217378,2.876661914263607,0.9545664475412691,0.9545664475412691,236.36435967875985,0.4942967208463733,True
10469,ep000033,881,nan,nan,50,120,5,0.7631612771581465,0.034699995690174644,0.7284612814679718,0.9545312416539394,0.9545312416539394,236.17263499646955,0.721814119274434,True
11618,ep000035,377,nan,Pick up the white coat hanger from the couch and hang it on the top rail,50,120,5,1.9545735867480998,0.0900720165108702,1.8645015702372296,0.9539173059937198,0.9539173059937198,232.87635247554852,0.3784366699305478,True
26351,ep000093,243,nan,Pick up the snuck and put it in the sink,50,120,5,2.6078286557348758,0.1214242944833289,2.4864043612515467,0.953438545812316,0.953438545812316,230.36616505044103,0.3841207624229681,True
