state_index,episode_id,t_in_episode,task_name,instruction,num_points,action_dim,k,total_variance,weighted_incluster_variance,variance_drop,r2,calinski_harabasz,silhouette,best_k
584,ep000003,38,b'Place the pack of doritos inside the sink',b'Place the pack of doritos inside the sink',750,8,4,0.4752374685138105,0.023499392225824162,0.45173807628798635,0.9505523158783907,4780.217316152578,0.8038417673273989,True
220,ep000001,54,b'Put the candy bar on the left side of the first shelf',b'Put the candy bar on the left side of the first shelf',750,8,4,0.23700084278875425,0.011724202616375167,0.22527664017237908,0.950530966563586,4778.047004347253,0.629096843210393,True
323,ep000001,157,b'Put the candy bar on the left side of the first shelf',b'Put the candy bar on the left side of the first shelf',750,8,4,0.19313991210991796,0.009590783050910363,0.1835491290590076,0.9503428217081712,4759.001413168324,0.7314483438279981,True
219,ep000001,53,b'Put the candy bar on the left side of the first shelf',b'Put the candy bar on the left side of the first shelf',750,8,4,0.21174339237249962,0.010538960878122434,0.2012044314943772,0.9502276753005721,4747.416360765735,0.6498407036565118,True
222,ep000001,56,b'Put the candy bar on the left side of the first shelf',b'Put the candy bar on the left side of the first shelf',750,8,4,0.2386210171949023,0.011900020001991356,0.22672099719291094,0.9501300424334727,4737.635283459149,0.6188649409949818,True
585,ep000003,39,b'Place the pack of doritos inside the sink',b'Place the pack of doritos inside the sink',750,8,4,0.2241610906640705,0.011219164065906203,0.2129419265981643,0.9499504395135223,4719.741931723544,0.4612972982647287,True
227,ep000001,61,b'Put the candy bar on the left side of the first shelf',b'Put the candy bar on the left side of the first shelf',750,8,4,0.22380343214885529,0.011444629488031398,0.21235880266082388,0.9488630295874131,4614.0904474204035,0.6212204612267741,True
1687,ep000007,455,b'',b'',750,8,4,0.2632494523989798,0.01358222346926475,0.24966722892971505,0.9484055015290987,4570.968644003367,0.4220596879643167,True
221,ep000001,55,b'Put the candy bar on the left side of the first shelf',b'Put the candy bar on the left side of the first shelf',750,8,4,0.23792999334234222,0.012418348857394847,0.22551164448494737,0.9478067111970752,4515.675116921645,0.6083524558605757,True
223,ep000001,57,b'Put the candy bar on the left side of the first shelf',b'Put the candy bar on the left side of the first shelf',750,8,4,0.22221516566276478,0.011668557207081645,0.21054660845568313,0.9474898251328627,4486.923479354563,0.6036461561238783,True
214,ep000001,48,b'Put the candy bar on the left side of the first shelf',b'Put the candy bar on the left side of the first shelf',750,8,4,0.11327995932785367,0.006033054197668763,0.10724690513018491,0.9467420871841243,4420.436073547027,0.7589256506269354,True
218,ep000001,52,b'Put the candy bar on the left side of the first shelf',b'Put the candy bar on the left side of the first shelf',750,8,4,0.14833865924438788,0.007957611656290348,0.14038104758809752,0.9463551059661379,4386.754302003756,0.6954647305772308,True
615,ep000003,69,b'Place the pack of doritos inside the sink',b'Place the pack of doritos inside the sink',750,8,5,0.19737651839636033,0.008042272328440483,0.18933424606791985,0.9592541585301932,4384.768618869711,0.5519607311524596,True
1688,ep000007,456,b'',b'',750,8,4,0.25635735686033057,0.013907954237675236,0.24244940262265532,0.945747785793982,4334.863615109063,0.4502448129692228,True
614,ep000003,68,b'Place the pack of doritos inside the sink',b'Place the pack of doritos inside the sink',750,8,5,0.20364894051416943,0.008538599165812183,0.19511034134835725,0.9580719686326181,4255.885581516811,0.5444051027760448,True
1700,ep000007,468,b'',b'',750,8,4,0.1781223925589965,0.00998695301735318,0.16813543954164334,0.9439320746040094,4186.429957836734,0.5984202625085453,True
324,ep000001,158,b'Put the candy bar on the left side of the first shelf',b'Put the candy bar on the left side of the first shelf',750,8,4,0.23135198784207764,0.01303513036144064,0.218316857480637,0.9436567177009151,4164.7550673863625,0.6772608957432058,True
225,ep000001,59,b'Put the candy bar on the left side of the first shelf',b'Put the candy bar on the left side of the first shelf',750,8,4,0.22381624382795892,0.012636430059759816,0.2111798137681991,0.9435410502667846,4155.713291545227,0.579544943965357,True
217,ep000001,51,b'Put the candy bar on the left side of the first shelf',b'Put the candy bar on the left side of the first shelf',750,8,4,0.11707916225117815,0.006627555985513233,0.11045160626566491,0.9433925229897471,4144.157034372466,0.7417519680711048,True
325,ep000001,159,b'Put the candy bar on the left side of the first shelf',b'Put the candy bar on the left side of the first shelf',750,8,5,0.2572377591749946,0.011236117107258501,0.2460016420677361,0.9563201096787087,4077.725908135798,0.6577604064889981,True
1598,ep000007,366,b'',b'',750,8,4,0.19576478554766258,0.011288413177784744,0.18447637236987782,0.942336855189738,4063.7354315000807,0.3843078651195417,True
1341,ep000007,109,b'',b'',750,8,4,0.13921824534722277,0.008047203224491949,0.1311710421227308,0.942197208387295,4053.3170218168175,0.6683001631710407,True
1343,ep000007,111,b'',b'',750,8,4,0.16646381039686226,0.009677811620193499,0.15678599877666877,0.9418623687808128,4028.540048707704,0.6189125060375068,True
1599,ep000007,367,b'',b'',750,8,4,0.19752086953217649,0.011484771742532533,0.18603609778964394,0.9418554010533978,4028.0274918919445,0.6584789702388946,True
1694,ep000007,462,b'',b'',750,8,4,0.1857089852302977,0.010815772988062468,0.17489321224223522,0.9417595601276383,4020.989730359835,0.5903630294534927,True
610,ep000003,64,b'Place the pack of doritos inside the sink',b'Place the pack of doritos inside the sink',750,8,4,0.2327470088551357,0.013559283313388081,0.21918772554174762,0.9417423949717544,4019.7317088948266,0.5964740751956024,True
226,ep000001,60,b'Put the candy bar on the left side of the first shelf',b'Put the candy bar on the left side of the first shelf',750,8,4,0.23272535429926106,0.013558146732404488,0.21916720756685656,0.9417418580230408,4019.692368281838,0.5703442643553269,True
1693,ep000007,461,b'',b'',750,8,4,0.206687964823521,0.012074115365122701,0.1946138494583983,0.9415828813475806,4008.0764319826903,0.5582789087614436,True
612,ep000003,66,b'Place the pack of doritos inside the sink',b'Place the pack of doritos inside the sink',750,8,4,0.23391939610311344,0.01367085989975663,0.2202485362033568,0.941557390590516,4006.219779699182,0.5804014553413452,True
326,ep000001,160,b'Put the candy bar on the left side of the first shelf',b'Put the candy bar on the left side of the first shelf',750,8,4,0.31628097886193934,0.018496888353679762,0.2977840905082596,0.9415175442410849,4003.3207616957166,0.654645339491869,True
216,ep000001,50,b'Put the candy bar on the left side of the first shelf',b'Put the candy bar on the left side of the first shelf',750,8,4,0.09739649165778225,0.005754686954920471,0.09164180470286178,0.9409148434715651,3959.9481746428423,0.7737633654482727,True
1695,ep000007,463,b'',b'',750,8,4,0.17936044688433342,0.010599008942563035,0.1687614379417704,0.9409066540216743,3959.364923859153,0.6047584756305655,True
1691,ep000007,459,b'',b'',750,8,4,0.20088976866798405,0.011879324507146452,0.1890104441608376,0.9408664533494498,3956.504183919435,0.5492259870289818,True
327,ep000001,161,b'Put the candy bar on the left side of the first shelf',b'Put the candy bar on the left side of the first shelf',750,8,4,0.34508112949258957,0.02047099297332602,0.32461013651926357,0.9406777385844693,3943.1267803977926,0.6450999482554611,True
1344,ep000007,112,b'',b'',750,8,4,0.17111150994394186,0.010161154231686509,0.16095035571225536,0.9406167695264017,3938.8230452179614,0.6011605504634691,True
